customer_key,prefix,first_name,last_name,birth_date,marital_status,gender,annual_income,total_children,education_level,occupation,home_owner,income_sort
11134,MR.,LARRY,TOWNSEND,2/26/1946,S,M,"$10,000 ",5,High School,Skilled Manual,Y,1
11135,MR.,MARCUS,HARRIS,11/3/1979,S,M,"$30,000 ",0,Partial High School,Clerical,N,4
11136,MS.,BRIANNA,MORGAN,10/26/1978,S,F,"$40,000 ",0,High School,Skilled Manual,N,5
11137,MS.,JASMINE,TAYLOR,7/20/1978,M,F,"$40,000 ",0,High School,Skilled Manual,Y,5
11138,MS.,LAUREN,DAVIS,9/15/1978,M,F,"$40,000 ",0,High School,Skilled Manual,N,5
11139,MRS.,TANYA,MORENO,11/9/1938,S,F,"$30,000 ",2,Partial College,Clerical,N,4
11140,MR.,JAVIER,ALVAREZ,2/11/1977,S,M,"$30,000 ",0,Partial High School,Clerical,N,4
11141,MS.,NICOLE,RAMIREZ,6/21/1977,M,F,"$40,000 ",0,High School,Skilled Manual,N,5
11142,MR.,EDUARDO,PATTERSON,8/14/1977,S,M,"$40,000 ",0,High School,Skilled Manual,N,5
11143,MR.,JONATHAN,HENDERSON,2/4/1977,M,M,"$40,000 ",0,High School,Skilled Manual,Y,5
11144,MR.,EDWARD,HERNANDEZ,9/9/1979,S,M,"$40,000 ",0,High School,Skilled Manual,N,5
11145,MS.,JASMINE,COLEMAN,12/8/1979,S,F,"$40,000 ",0,High School,Skilled Manual,N,5
11146,MRS.,KARLA,GOEL,8/26/1939,S,F,"$40,000 ",2,Bachelors,Management,Y,5
11147,MR.,ERNEST,WU,2/5/1939,M,M,"$60,000 ",2,Graduate Degree,Management,Y,7
11148,MR.,ROSS,VAZQUEZ,8/16/1941,M,M,"$40,000 ",2,Bachelors,Management,Y,5
11149,MR.,THEODORE,GILL,4/20/1941,M,M,"$40,000 ",2,Bachelors,Management,Y,5
11150,MR.,RUSSELL,SHEN,3/15/1941,S,M,"$40,000 ",2,Bachelors,Management,Y,5
11151,MRS.,MELINDA,GILL,2/25/1942,S,F,"$60,000 ",2,Graduate Degree,Management,N,7
11152,MR.,JAMES,WILLIAMS,1/10/1976,S,M,"$40,000 ",0,High School,Skilled Manual,Y,5
11153,MS.,ANGELA,JAMES,6/23/1976,M,F,"$40,000 ",0,High School,Skilled Manual,Y,5
11154,MS.,MEGAN,WALKER,8/21/1976,S,F,"$40,000 ",0,Partial College,Skilled Manual,Y,5
11155,MR.,HUNTER,ROBINSON,1/26/1976,S,M,"$40,000 ",0,Partial College,Skilled Manual,N,5
11156,MS.,MARIA,ROBERTS,2/7/1976,S,F,"$40,000 ",0,Partial College,Skilled Manual,N,5
11157,MS.,HANNAH,LONG,6/11/1975,M,F,"$40,000 ",0,High School,Skilled Manual,Y,5
11158,MR.,JASON,WRIGHT,10/8/1975,S,M,"$40,000 ",0,High School,Skilled Manual,Y,5
11159,MS.,BRIANNA,HUGHES,9/17/1975,S,F,"$40,000 ",0,High School,Skilled Manual,N,5
11160,MR.,MAURICE,TANG,1/8/1974,S,M,"$40,000 ",0,Partial College,Skilled Manual,N,5
11161,MS.,EMILY,WOOD,4/22/1974,S,F,"$40,000 ",0,Partial College,Skilled Manual,N,5
11162,MR.,CHASE,COX,3/5/1974,S,M,"$40,000 ",0,Partial College,Skilled Manual,Y,5
11163,MR.,GABRIEL,WANG,12/20/1974,M,M,"$40,000 ",0,Partial College,Skilled Manual,Y,5
11164,MR.,DEVIN,BROOKS,5/5/1974,S,M,"$40,000 ",0,Partial College,Skilled Manual,N,5
11165,MS.,JOCELYN,ALEXANDER,7/18/1973,M,F,"$60,000 ",0,Partial College,Skilled Manual,N,7
11166,MS.,ASHLEY,MARTINEZ,4/24/1972,S,F,"$70,000 ",0,Partial College,Skilled Manual,N,8
11167,MS.,JASMINE,BARNES,8/1/1972,S,F,"$80,000 ",0,Bachelors,Management,N,9
11168,MR.,DAVID,RODRIGUEZ,5/15/1968,S,M,"$80,000 ",0,Bachelors,Management,N,9
11169,MR.,BRYCE,RICHARDSON,6/22/1968,M,M,"$90,000 ",4,Bachelors,Management,Y,10
11170,MRS.,CAROL,HOWARD,2/5/1968,M,F,"$90,000 ",4,Bachelors,Management,Y,10
11171,MR.,JONATHAN,HILL,10/9/1967,S,M,"$100,000 ",1,Bachelors,Management,Y,11
11172,MRS.,GABRIELLE,ADAMS,11/21/1967,M,F,"$100,000 ",1,Bachelors,Management,Y,11
11173,MS.,SARAH,THOMAS,9/1/1967,S,F,"$110,000 ",0,Graduate Degree,Management,N,12
11174,MR.,NICHOLAS,ROBINSON,7/13/1967,M,M,"$110,000 ",0,Graduate Degree,Management,Y,12
11175,MR.,LUIS,WANG,3/5/1963,S,M,"$70,000 ",0,Partial College,Skilled Manual,Y,8
11176,MR.,MASON,ROBERTS,1/25/1968,M,M,"$90,000 ",4,Bachelors,Management,Y,10
11177,MR.,JOSE,FLORES,7/4/1942,M,M,"$110,000 ",2,Graduate Degree,Management,Y,12
11178,MR.,NATHAN,JOHNSON,8/24/1943,M,M,"$100,000 ",2,Graduate Degree,Management,Y,11
11179,MRS.,MOLLY,RODRIGUEZ,6/14/1943,M,F,"$120,000 ",2,Graduate Degree,Management,Y,13
11180,MRS.,APRIL,ANAND,1/2/1943,M,F,"$160,000 ",1,Bachelors,Management,Y,16
11181,MR.,DEVIN,MARTIN,8/8/1943,M,M,"$170,000 ",2,Graduate Degree,Management,Y,17
11182,MRS.,STEPHANIE,TORRES,8/25/1944,S,F,"$70,000 ",4,Bachelors,Management,Y,8
11183,MRS.,JASMINE,LEE,7/15/1944,S,F,"$70,000 ",4,Bachelors,Management,Y,8
11184,MRS.,MEGHAN,HERNANDEZ,11/16/1944,S,F,"$70,000 ",4,Bachelors,Management,Y,8
11185,MRS.,ASHLEY,HENDERSON,10/8/1944,S,F,"$70,000 ",4,Bachelors,Management,Y,8
11186,MRS.,SARAH,PRICE,5/21/1944,S,F,"$70,000 ",4,Bachelors,Management,Y,8
11187,MRS.,JENNIFER,COOPER,2/22/1944,M,F,"$60,000 ",4,Graduate Degree,Management,Y,7
11188,MRS.,CATHERINE,MORRIS,9/6/1944,M,F,"$60,000 ",4,Graduate Degree,Management,N,7
11190,MR.,CARSON,BRYANT,6/22/1944,M,M,"$70,000 ",5,Bachelors,Management,Y,8
11191,MRS.,KRISTI,PEREZ,12/18/1945,S,F,"$70,000 ",5,Bachelors,Management,Y,8
11192,MR.,JAMES,BROWN,9/13/1945,M,M,"$60,000 ",4,Bachelors,Management,Y,7
11193,MR.,IAN,GRAY,2/13/1945,M,M,"$60,000 ",4,Bachelors,Management,Y,7
11194,MRS.,JACQUELINE,PRICE,6/10/1945,M,F,"$60,000 ",4,Bachelors,Management,Y,7
11195,MRS.,MEGAN,HENDERSON,2/10/1946,M,F,"$60,000 ",5,Bachelors,Management,Y,7
11196,MR.,ALFREDO,ROMERO,6/7/1946,M,M,"$60,000 ",5,Bachelors,Management,Y,7
11197,MRS.,ANDREA,MORRIS,6/18/1946,M,F,"$70,000 ",3,Bachelors,Management,N,8
11198,MRS.,BROOKE,SANDERS,11/26/1946,S,F,"$70,000 ",4,Bachelors,Management,Y,8
11199,MRS.,JACQUELINE,BENNETT,11/6/1946,M,F,"$70,000 ",4,Bachelors,Management,Y,8
11200,MR.,JASON,GRIFFIN,11/22/1947,M,M,"$70,000 ",4,Bachelors,Management,Y,8
11201,MRS.,AMANDA,FOSTER,8/18/1947,M,F,"$70,000 ",4,Bachelors,Management,Y,8
11202,MRS.,ALEXIA,PRICE,8/26/1947,M,F,"$80,000 ",5,Bachelors,Management,N,9
11203,MR.,LUIS,DIAZ,8/21/1948,M,M,"$40,000 ",2,High School,Professional,Y,5
11205,MRS.,ABBY,FERNANDEZ,7/24/1948,M,F,"$40,000 ",2,High School,Professional,Y,5
11206,MR.,BLAKE,FLORES,9/24/1948,M,M,"$60,000 ",2,Partial College,Professional,Y,7
11207,MRS.,DANIELLE,COX,7/19/1948,S,F,"$60,000 ",2,Partial College,Professional,Y,7
11208,MRS.,MARIA,REED,2/4/1948,M,F,"$60,000 ",2,Bachelors,Management,Y,7
11209,MRS.,ALLISON,EVANS,1/13/1948,M,F,"$60,000 ",2,Bachelors,Management,Y,7
11210,MR.,EDWARD,WOOD,6/8/1948,M,M,"$70,000 ",4,Partial College,Professional,Y,8
11211,MRS.,SAMANTHA,RUSSELL,10/12/1949,M,F,"$40,000 ",2,High School,Professional,Y,5
11212,MRS.,CHLOE,CAMPBELL,11/5/1949,M,F,"$40,000 ",2,High School,Professional,Y,5
11213,MRS.,STEPHANIE,MURPHY,5/14/1949,S,F,"$60,000 ",2,Partial College,Professional,Y,7
11214,MR.,CHARLES,MILLER,11/7/1949,S,M,"$60,000 ",2,Partial College,Professional,Y,7
11215,MRS.,ANA,PERRY,6/21/1950,M,F,"$40,000 ",2,Partial High School,Skilled Manual,Y,5
11216,MRS.,JASMINE,TORRES,5/20/1950,S,F,"$60,000 ",2,Partial College,Professional,Y,7
11217,MRS.,NATALIE,ADAMS,2/11/1950,S,F,"$60,000 ",2,Partial College,Professional,Y,7
11218,MRS.,OLIVIA,BROWN,9/11/1950,S,F,"$60,000 ",2,Partial College,Professional,N,7
11219,MR.,CHARLES,COOK,12/2/1950,M,M,"$60,000 ",2,High School,Professional,Y,7
11220,MRS.,ERICA,HUANG,2/23/1950,M,F,"$60,000 ",2,Partial College,Professional,Y,7
11221,MR.,NATHAN,PERRY,6/10/1950,M,M,"$70,000 ",4,Partial College,Professional,Y,8
11222,MRS.,ALEXANDRA,RIVERA,8/17/1950,M,F,"$80,000 ",3,Bachelors,Management,Y,9
11223,MRS.,HAILEY,PATTERSON,9/16/1951,S,F,"$70,000 ",2,High School,Professional,Y,8
11224,MRS.,TIFFANY,LI,9/6/1951,S,F,"$70,000 ",2,High School,Professional,Y,8
11226,MRS.,SYDNEY,ROSS,9/27/1951,M,F,"$60,000 ",2,Partial College,Professional,Y,7
11227,MR.,MARSHALL,CHAVEZ,8/12/1951,S,M,"$60,000 ",2,Partial College,Professional,Y,7
11228,MRS.,ASHLEY,JONES,4/19/1951,M,F,"$60,000 ",2,Partial College,Professional,Y,7
11229,MR.,ADRIAN,STEWART,12/3/1951,S,M,"$70,000 ",4,Partial College,Professional,Y,8
11230,MRS.,AMBER,TURNER,4/3/1951,M,F,"$70,000 ",4,Partial College,Professional,N,8
11231,MR.,DENNIS,ZHANG,11/14/1952,M,M,"$60,000 ",2,High School,Professional,Y,7
11232,MRS.,HAILEY,BRYANT,9/27/1952,M,F,"$60,000 ",3,High School,Professional,N,7
11233,MR.,TODD,LI,9/9/1952,M,M,"$70,000 ",4,Partial College,Professional,Y,8
11234,Unknown,ANNA,GRIFFIN,11/19/1952,S,Unknown,"$70,000 ",4,Partial College,Professional,Y,8
11235,MR.,ANGEL,STEWART,2/8/1952,M,M,"$70,000 ",4,Partial College,Professional,Y,8
11236,MR.,JEREMY,BUTLER,3/5/1952,S,M,"$70,000 ",5,Partial College,Professional,Y,8
11237,MR.,CLARENCE,ANAND,9/23/1958,S,M,"$130,000 ",2,Bachelors,Management,N,14
11238,MRS.,MAYRA,PRASAD,8/10/1958,S,F,"$130,000 ",2,Bachelors,Management,N,14
11239,MRS.,LATOYA,GOEL,10/6/1958,M,F,"$130,000 ",2,Partial College,Professional,N,14
11240,MRS.,ANNE,HERNANDEZ,12/11/1958,M,F,"$160,000 ",2,Partial College,Professional,Y,16
11241,MRS.,LISA,CAI,10/11/1957,S,F,"$100,000 ",2,Partial College,Professional,Y,11
11242,MR.,LARRY,MUNOZ,11/11/1957,M,M,"$110,000 ",2,Partial College,Professional,Y,12
11243,MRS.,ROBIN,ALVAREZ,10/9/1957,M,F,"$150,000 ",2,Partial College,Professional,Y,15
11244,MRS.,ALEXIS,COLEMAN,11/26/1957,S,F,"$170,000 ",2,Bachelors,Management,N,17
11245,MR.,RICKY,VAZQUEZ,10/27/1956,M,M,"$120,000 ",3,High School,Professional,N,13
11247,MRS.,CLAUDIA,ZHOU,6/6/1956,S,F,"$130,000 ",3,Partial College,Professional,N,14
11248,MR.,TRISTAN,ALEXANDER,3/26/1955,M,M,"$110,000 ",3,Partial College,Professional,Y,12
11249,MRS.,CINDY,PATEL,7/13/1955,M,F,"$130,000 ",3,Partial College,Professional,Y,14
11250,MRS.,SHANNON,LIU,3/12/1955,M,F,"$170,000 ",3,High School,Professional,Y,17
11251,MR.,XAVIER,LONG,7/4/1932,S,M,"$30,000 ",4,High School,Professional,N,4
11252,MR.,NICHOLAS,THOMPSON,6/7/1932,S,M,"$90,000 ",3,Graduate Degree,Management,Y,10
11253,MR.,JOSÉ,HERNANDEZ,2/28/1933,M,M,"$60,000 ",2,Graduate Degree,Management,Y,7
11254,MR.,JOHNATHAN,VANCE,3/3/1933,M,M,"$70,000 ",4,Graduate Degree,Management,Y,8
11255,MR.,COLIN,LIN,4/4/1933,M,M,"$70,000 ",4,Graduate Degree,Management,Y,8
11256,MRS.,KATELYN,HERNANDEZ,9/20/1933,M,F,"$70,000 ",4,Graduate Degree,Management,Y,8
11257,MRS.,JACQUELINE,POWELL,1/6/1933,S,F,"$120,000 ",1,Graduate Degree,Management,Y,13
